analysis,n_sites,DMLA_variance,SAME_INTERVAL_variance,difference,null_mean_difference,null_sd_difference,permutation_p_high,BH_FDR_5_sensitivity
CONSENSUS_ALL_PAIRS,27,1.11593326223168,0.3386450480521524,0.7772882141795276,-0.20997220719353524,0.6935423865136247,0.0018599628007439852,0.009299814003719925
CENTROID_ALL_PAIRS,27,1.033692842406882,0.3227053743983742,0.7109874680085079,-0.28843549233915217,0.7558268379969761,0.012159756804863902,0.020624587508249834
MFE_ALL_PAIRS,27,1.174962697243709,0.48210211093615646,0.6928605863075525,0.29861954504538407,0.46787676973686815,0.14795704085918282,0.14795704085918282
CONSENSUS_COMPONENT_ONLY,24,0.949297968835823,0.38217381371291154,0.5671241551229114,0.16994119991801493,0.23426057617764742,0.01385972280554389,0.020624587508249834
CONSENSUS_CLEAVAGE_INVOLVING,27,1.0917484450365817,0.32962269657403587,0.7621257484625459,-0.2859584274888702,0.8498743711519401,0.016499670006599867,0.020624587508249834
