scope,DMLA_weighted_variance,SAME_INTERVAL_weighted_variance,DMLA_minus_SAME_INTERVAL,permutation_p_high,BH_FDR_3_scopes,interpretation
ALL_5_CONTEXTS,1.11593326223168,0.3386450480521524,0.7772882141795276,0.0014899851001489986,0.004469955300446996,DMLA has greater between-context variance than SAME_MULTILOOP_INTERVAL
TISSUES_ONLY,1.0079960826733383,0.27409364065858327,0.7339024420147551,0.01837981620183798,0.02756972430275697,DMLA has greater between-context variance than SAME_MULTILOOP_INTERVAL
EMBRYO_EARLY_VS_LATE,0.4435620179858853,0.14934803790831042,0.2942139800775749,0.03090969090309097,0.03090969090309097,DMLA has greater between-context variance than SAME_MULTILOOP_INTERVAL
